E,I,j
V,uA,uA cm-2
0.43246,0.67762,1.76096673596674
0.43317,-0.35333,-0.918217255717256
0.43433,0.29101,0.756262993762994
0.43542,-0.22446,-0.583316008316008
0.43568,-0.70772,-1.83918918918919
0.43749,-0.4822,-1.2531185031185
0.43794,-0.25668,-0.667047817047817
0.43878,0.51653,1.34233367983368
0.44045,0.8387,2.1795738045738
0.44129,0.38766,1.00743243243243
0.442,0.77427,2.01213617463617
0.44245,0.19436,0.505093555093555
0.44393,1.2253,3.18425155925156
0.44451,0.96757,2.51447505197505
0.44612,0.96757,2.51447505197505
0.44657,1.1931,3.10057172557173
0.44703,0.12992,0.337629937629938
0.4478,0.12992,0.337629937629938
0.4496,0.6454,1.67723492723493
0.45089,0.96757,2.51447505197505
0.45083,0.61318,1.59350311850312
0.45218,-0.32111,-0.834485446985447
0.45302,0.35544,0.923700623700624
0.45379,1.032,2.68191268191268
0.45392,0.22658,0.588825363825364
0.45515,0.74205,1.92840436590437
0.45656,0.033273,0.0864682952182952
0.45689,0.065491,0.170194906444906
0.45888,1.3542,3.51923076923077
0.45933,0.61318,1.59350311850312
0.4603,0.70983,1.84467255717256
0.46075,1.483,3.8539501039501
0.46146,-0.063378,-0.164703742203742
0.46288,0.99979,2.59820686070686
0.4632,0.61318,1.59350311850312
0.46443,0.033273,0.0864682952182952
0.46539,0.32323,0.839994802494803
0.467,0.22658,0.588825363825364
0.46758,0.41988,1.09116424116424
0.46855,1.0642,2.76559251559252
0.4699,0.77427,2.01213617463617
0.47061,1.2897,3.35161122661123
0.47119,-0.19225,-0.499610187110187
0.47216,0.51653,1.34233367983368
0.47261,-0.16003,-0.415878378378378
0.47454,0.25879,0.672531185031185
0.47538,1.1609,3.01689189189189
0.4748,-0.41777,-1.08568087318087
0.47693,1.9341,5.0262474012474
0.47725,0.0010563,0.00274506237006237
0.47847,0.77427,2.01213617463617
0.47931,0.61318,1.59350311850312
0.48009,0.6454,1.67723492723493
0.48131,1.4508,3.77027027027027
0.48292,0.74205,1.92840436590437
0.48357,0.87092,2.26330561330561
0.48447,0.4521,1.17489604989605
0.48531,0.58096,1.50977130977131
0.48621,0.8387,2.1795738045738
0.48601,0.67762,1.76096673596674
0.48782,0.93535,2.43074324324324
0.48866,0.80648,2.095841995842
0.48988,0.96757,2.51447505197505
0.4904,0.58096,1.50977130977131
0.49143,0.16214,0.421361746361746
0.49278,0.61318,1.59350311850312
0.49355,0.58096,1.50977130977131
0.49336,0.25879,0.672531185031185
0.49491,0.48431,1.25860187110187
0.49645,1.0642,2.76559251559252
0.49529,0.12992,0.337629937629938
0.49839,1.032,2.68191268191268
0.49845,0.8387,2.1795738045738
0.49929,0.90314,2.34703742203742
0.50026,0.77427,2.01213617463617
0.50219,0.99979,2.59820686070686
0.50316,1.2575,3.26793139293139
0.50399,1.0964,2.84927234927235
0.50361,1.0964,2.84927234927235
0.50548,0.41988,1.09116424116424
0.50586,1.1287,2.93321205821206
0.50767,0.58096,1.50977130977131
0.50857,0.74205,1.92840436590437
0.50883,0.54875,1.42606548856549
0.51031,0.4521,1.17489604989605
0.51095,0.8387,2.1795738045738
0.51231,1.0642,2.76559251559252
0.51237,1.6763,4.35628898128898
0.51379,0.70983,1.84467255717256
0.51508,1.1931,3.10057172557173
0.51559,0.70983,1.84467255717256
0.51727,1.0642,2.76559251559252
0.51727,1.1609,3.01689189189189
0.51779,0.99979,2.59820686070686
0.51953,1.322,3.43555093555094
0.51978,0.93535,2.43074324324324
0.52069,0.87092,2.26330561330561
0.5212,0.96757,2.51447505197505
0.52249,0.61318,1.59350311850312
0.52352,0.74205,1.92840436590437
0.52449,0.93535,2.43074324324324
0.52603,1.2575,3.26793139293139
0.52649,0.96757,2.51447505197505
0.52687,0.61318,1.59350311850312
0.52823,1.0964,2.84927234927235
0.52874,0.77427,2.01213617463617
0.53061,1.2575,3.26793139293139
0.53035,0.74205,1.92840436590437
0.53229,1.8052,4.69126819126819
0.53357,1.322,3.43555093555094
0.53306,1.8052,4.69126819126819
